what,when,with,where,why
Doctor of Medicine,2015-2020,The Cleveland Clinic Lerner College of Medicine of Case Western Reserve University,"Cleveland, OH","Five-year curriculum, with a research emphasis, portfolio-based evalution, and a full-ride tuition scholarship for every student (32 matriculants per year)."
Bachelor of Arts,2011-2015,Brigham Young University,"Provo, UT","Ethnomusicology (combination of anthropology and musicology)."
