what,when,with,where,why
"Justin Bieber vs. The Dalai Lama: Who Would Win in a Fight? Cultural Perpetuation and Creation in a Tibetan Refugee Community",2012-11-01,"Kennedy Center 12th Annual Inquiry Conference","Provo, UT","Oral presentation of abstract."
"Equivalent circuit modeling and vibrometry analysis of the Udu Utar Nigerian drum",2011-11-03,"Acoustical Society of America 162nd Meeting","San Diego, CA","Oral presentation of abstract."
